X; Y; Z; Time
0;2;4,95;0,02
0;2;4,95;0,04
-0,735;0;3,517;0,37
-0,735;0;3,517;0,43
-0,735;0;3,517;0,43
-0,735;0;3,517;0,44
-0,735;0;3,517;0,44
-0,735;0;3,517;0,44
-0,735;0;3,517;0,45
-0,735;0;3,517;0,45
-0,735;0;3,517;0,45
-0,735;0;3,517;0,46
-0,735;0;3,517;0,46
-0,735;0;3,517;0,46
-0,735;0;3,517;0,47
-0,735;0;3,517;0,47
-0,735;0;3,517;0,47
-0,735;0;3,517;0,48
-0,735;0;3,517;0,48
-0,735;0;3,517;0,49
-0,735;0;3,517;0,49
-0,735;0;3,517;0,49
-0,735;0;3,517;0,5
-0,681;0;3,469;0,5
-0,681;0;3,469;0,5
-0,628;0;3,421;0,51
-0,628;0;3,421;0,51
-0,577;0;3,374;0,51
-0,511;0;3,302;0,52
-0,511;0;3,302;0,53
-0,424;0;3,223;0,53
-0,424;0;3,223;0,53
-0,334;0;3,122;0,54
-0,334;0;3,122;0,54
-0,238;0;3,024;0,55
-0,238;0;3,024;0,55
-0,127;0;2,918;0,55
-0,127;0;2,918;0,56
-0,039;0;2,814;0,56
-0,039;0;2,814;0,56
0,033;0;2,732;0,57
0,033;0;2,732;0,57
0,092;0;2,643;0,57
0,092;0;2,643;0,58
0,152;0;2,565;0,58
0,152;0;2,565;0,59
0,196;0;2,489;0,59
0,196;0;2,489;0,59
0,245;0;2,414;0,6
0,326;0;2,294;0,61
0,326;0;2,294;0,62
0,359;0;2,24;0,62
0,359;0;2,24;0,63
0,388;0;2,179;0,63
0,388;0;2,179;0,63
0,416;0;2,119;0,64
0,416;0;2,119;0,64
0,445;0;2,06;0,64
0,471;0;1,995;0,65
0,471;0;1,995;0,65
0,471;0;1,995;0,66
0,496;0;1,93;0,66
0,52;0;1,874;0,66
0,52;0;1,874;0,67
0,542;0;1,819;0,67
0,542;0;1,819;0,67
0,566;0;1,763;0,68
0,566;0;1,763;0,68
0,584;0;1,717;0,69
0,584;0;1,717;0,69
0,596;0;1,673;0,69
0,596;0;1,673;0,7
0,602;0;1,637;0,7
0,602;0;1,637;0,7
0,607;0;1,616;0,71
0,607;0;1,616;0,71
0,609;0;1,596;0,72
0,609;0;1,596;0,72
0,61;0;1,589;0,72
0,61;0;1,589;0,73
0,611;0;1,582;0,73
0,611;0;1,582;0,73
0,611;0;1,576;0,74
0,611;0;1,576;0,74
0,611;0;1,576;0,75
0,611;0;1,576;0,75
0,611;0;1,576;0,75
0,611;0;1,576;0,76
0,611;0;1,576;0,76
0,611;0;1,576;0,76
0,614;0;1,575;0,77
0,617;0;1,574;0,77
0,617;0;1,574;0,78
0,617;0;1,574;0,78
0,617;0;1,574;0,78
0,615;0;1,568;0,79
0,615;0;1,568;0,79
0,619;0;1,573;0,8
0,619;0;1,573;0,8
0,619;0;1,573;0,8
0,619;0;1,573;0,81
0,622;0;1,571;0,81
0,622;0;1,571;0,81
0,624;0;1,577;0,82
0,624;0;1,577;0,82
0,624;0;1,577;0,83
0,624;0;1,577;0,83
0,634;0;1,586;0,83
0,634;0;1,586;0,84
0,66;0;1,602;0,84
0,66;0;1,602;0,85
0,686;0;1,624;0,85
0,686;0;1,624;0,85
0,724;0;1,649;0,86
0,724;0;1,649;0,86
0,774;0;1,683;0,86
0,774;0;1,683;0,87
0,826;0;1,709;0,87
0,826;0;1,709;0,88
0,93;0;1,763;0,88
0,93;0;1,763;0,88
1,067;0;1,826;0,89
1,178;0;1,856;0,89
1,178;0;1,856;0,89
1,283;0;1,881;0,9
1,283;0;1,881;0,9
1,455;0;1,898;0,91
1,455;0;1,898;0,92
1,522;0;1,889;0,92
1,522;0;1,89;0,93
1,583;0;1,884;0,93
1,582;0;1,885;0,93
1,63;0;1,856;0,94
1,629;0;1,856;0,94
1,675;0;1,851;0,95
1,674;0;1,851;0,95
1,702;0;1,838;0,95
1,701;0;1,839;0,96
1,719;0;1,822;0,96
1,74;0;1,815;0,97
1,739;0;1,816;0,97
1,737;0;1,817;0,97
1,736;0;1,818;0,98
1,735;0;1,819;0,98
1,734;0;1,821;0,99
1,732;0;1,822;0,99
1,731;0;1,823;0,99
1,729;0;1,825;1
1,728;0;1,826;1
1,726;0;1,828;1
1,725;0;1,829;1,01
1,723;0;1,831;1,01
1,721;0;1,833;1,01
1,719;0;1,834;1,02
1,718;0;1,836;1,02
1,716;0;1,838;1,02
1,714;0;1,84;1,03
1,712;0;1,842;1,03
1,709;0;1,844;1,04
1,707;0;1,846;1,04
1,705;0;1,848;1,04
1,703;0;1,851;1,05
1,7;0;1,853;1,05
1,698;0;1,855;1,05
1,696;0;1,857;1,06
1,693;0;1,86;1,06
1,691;0;1,862;1,06
1,688;0;1,865;1,07
1,685;0;1,867;1,07
1,682;0;1,87;1,08
1,679;0;1,873;1,08
1,676;0;1,876;1,08
1,673;0;1,879;1,09
1,67;0;1,882;1,09
1,667;0;1,885;1,1
1,664;0;1,888;1,1
1,661;0;1,891;1,1
1,658;0;1,894;1,11
1,654;0;1,897;1,11
1,651;0;1,901;1,11
1,647;0;1,904;1,12
1,644;0;1,908;1,12
1,64;0;1,911;1,12
1,636;0;1,915;1,13
1,633;0;1,918;1,13
1,629;0;1,922;1,14
1,625;0;1,925;1,14
1,621;0;1,93;1,14
1,617;0;1,933;1,15
1,613;0;1,937;1,15
1,61;0;1,941;1,15
