X; Y; Z; Time
0;2;4,95;0,02
0;2;4,95;0,04
0;2;4,95;0,37
1,009;0;4,746;0,41
1,009;0;4,746;0,44
1,009;0;4,746;0,44
1,009;0;4,746;0,45
1,009;0;4,746;0,45
1,009;0;4,746;0,46
1,009;0;4,746;0,46
1,009;0;4,746;0,47
1,009;0;4,746;0,47
1,009;0;4,746;0,47
1,009;0;4,746;0,48
1,009;0;4,746;0,48
1,009;0;4,746;0,48
1,009;0;4,746;0,49
1,009;0;4,746;0,49
1,009;0;4,746;0,5
1,009;0;4,746;0,5
1,009;0;4,746;0,51
1,009;0;4,746;0,51
1,009;0;4,746;0,51
1,009;0;4,746;0,52
1,009;0;4,746;0,52
1,009;0;4,746;0,53
1,009;0;4,746;0,53
1,009;0;4,746;0,53
1,009;0;4,746;0,55
1,009;0;4,746;0,55
1,009;0;4,746;0,57
1,009;0;4,746;0,58
1,009;0;4,746;0,58
1,009;0;4,746;0,59
1,009;0;4,746;0,59
1,009;0;4,746;0,6
1,009;0;4,746;0,6
1,009;0;4,746;0,6
1,009;0;4,746;0,61
1,009;0;4,746;0,61
1,009;0;4,746;0,62
1,009;0;4,746;0,62
1,009;0;4,746;0,63
1,009;0;4,746;0,63
1,009;0;4,746;0,63
1,009;0;4,746;0,64
1,009;0;4,746;0,64
1,009;0;4,746;0,65
1,009;0;4,746;0,65
1,009;0;4,746;0,65
1,009;0;4,746;0,66
1,009;0;4,746;0,66
1,009;0;4,746;0,67
1,009;0;4,746;0,67
1,009;0;4,746;0,67
1,009;0;4,746;0,68
1,009;0;4,746;0,68
1,009;0;4,746;0,69
1,009;0;4,746;0,69
1,009;0;4,746;0,69
1,009;0;4,746;0,7
1,009;0;4,746;0,7
1,009;0;4,746;0,72
1,009;0;4,746;0,72
1,009;0;4,746;0,73
1,009;0;4,746;0,73
1,009;0;4,746;0,73
1,009;0;4,746;0,74
1,009;0;4,746;0,74
1,009;0;4,746;0,75
1,009;0;4,746;0,75
1,009;0;4,746;0,75
1,009;0;4,746;0,76
1,009;0;4,746;0,76
1,009;0;4,746;0,77
1,009;0;4,746;0,78
1,009;0;4,746;0,78
1,009;0;4,746;0,79
1,009;0;4,746;0,79
1,009;0;4,746;0,79
1,009;0;4,746;0,8
1,009;0;4,746;0,8
1,009;0;4,746;0,81
1,009;0;4,746;0,81
1,009;0;4,746;0,81
1,009;0;4,746;0,82
1,009;0;4,746;0,82
1,009;0;4,746;0,83
1,009;0;4,746;0,83
1,009;0;4,746;0,84
1,009;0;4,746;0,84
1,009;0;4,746;0,84
1,009;0;4,746;0,85
1,009;0;4,746;0,85
1,009;0;4,746;0,86
1,009;0;4,746;0,86
1,009;0;4,746;0,87
1,009;0;4,746;0,87
1,009;0;4,746;0,87
1,009;0;4,746;0,88
1,009;0;4,746;0,88
1,009;0;4,746;0,89
1,009;0;4,746;0,89
1,009;0;4,746;0,89
1,009;0;4,746;0,9
1,009;0;4,746;0,9
1,009;0;4,746;0,91
1,009;0;4,746;0,91
1,009;0;4,746;0,91
1,009;0;4,746;0,92
1,009;0;4,746;0,92
1,009;0;4,746;0,93
1,009;0;4,746;0,93
1,009;0;4,746;0,94
1,009;0;4,746;0,94
1,009;0;4,746;0,94
1,009;0;4,746;0,95
1,009;0;4,746;0,95
1,009;0;4,746;0,96
1,009;0;4,746;0,96
1,009;0;4,746;0,96
1,009;0;4,746;0,97
1,009;0;4,746;0,97
1,009;0;4,746;0,98
1,009;0;4,746;0,98
1,009;0;4,746;0,98
1,009;0;4,746;0,99
1,009;0;4,746;0,99
1,009;0;4,746;1
1,009;0;4,746;1
1,009;0;4,746;1
1,009;0;4,746;1,01
1,009;0;4,746;1,01
1,009;0;4,746;1,02
1,009;0;4,746;1,02
1,009;0;4,746;1,02
1,009;0;4,746;1,03
1,009;0;4,746;1,03
1,009;0;4,746;1,04
1,009;0;4,746;1,04
1,055;0;4,761;1,05
1,055;0;4,761;1,05
1,111;0;4,773;1,05
1,111;0;4,773;1,06
1,158;0;4,787;1,06
1,158;0;4,787;1,07
1,214;0;4,799;1,07
1,214;0;4,799;1,07
1,254;0;4,815;1,08
1,303;0;4,828;1,08
1,303;0;4,828;1,09
1,343;0;4,843;1,09
1,343;0;4,843;1,1
1,384;0;4,858;1,1
1,418;0;4,848;1,11
1,459;0;4,863;1,11
1,459;0;4,863;1,12
1,492;0;4,88;1,12
1,492;0;4,88;1,12
1,525;0;4,898;1,13
1,551;0;4,89;1,13
1,551;0;4,89;1,14
1,593;0;4,904;1,14
1,636;0;4,918;1,15
1,636;0;4,918;1,15
1,662;0;4,91;1,16
1,696;0;4,926;1,16
1,696;0;4,926;1,17
1,74;0;4,94;1,17
1,74;0;4,94;1,18
1,766;0;4,931;1,18
1,801;0;4,948;1,19
1,841;0,004;4,95;1,19
1,841;0,004;4,95;1,2
1,88;0,01;4,95;1,2
1,88;0,01;4,95;1,21
1,91;0,016;4,95;1,21
1,94;0,012;4,95;1,22
1,94;0,012;4,95;1,22
1,96;0,02;4,95;1,23
1,99;0,027;4,95;1,23
1,99;0,027;4,95;1,24
2,02;0,033;4,95;1,24
2,05;0,029;4,95;1,24
2,081;0,046;4,95;1,25
2,081;0,046;4,95;1,25
2,111;0,041;4,95;1,26
2,132;0,049;4,95;1,27
2,132;0,049;4,95;1,27
2,163;0,055;4,95;1,27
2,183;0,063;4,95;1,28
